"filename", "language", "TypeScript", "JSON", "Vue", "Markdown", "HTML", "XML", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\package-lock.json", "JSON", 0, 14079, 0, 0, 0, 0, 0, 0, 0, 1, 14080
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\package.json", "JSON", 0, 72, 0, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\public\index.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 1, 1, 20
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\App.vue", "Vue", 0, 0, 33, 0, 0, 0, 0, 0, 0, 12, 45
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\assets\global.scss", "SCSS", 0, 0, 0, 0, 0, 0, 21, 0, 4, 6, 31
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\auth\UserType.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\components\ComparisonChart.vue", "Vue", 0, 0, 415, 0, 0, 0, 0, 0, 68, 56, 539
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\components\DateTimeChooser.vue", "Vue", 0, 0, 177, 0, 0, 0, 0, 0, 3, 6, 186
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\components\DeviceMonitor.vue", "Vue", 0, 0, 552, 0, 0, 0, 0, 0, 12, 27, 591
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\components\HelloWorld.vue", "Vue", 0, 0, 142, 0, 0, 0, 0, 0, 0, 12, 154
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\components\NavDrawerBoss.vue", "Vue", 0, 0, 161, 0, 0, 0, 0, 0, 1, 9, 171
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\components\NavDrawerCommon.vue", "Vue", 0, 0, 84, 0, 0, 0, 0, 0, 0, 5, 89
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\components\Notifications.vue", "Vue", 0, 0, 241, 0, 0, 0, 0, 0, 1, 20, 262
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\components\SensorChip.vue", "Vue", 0, 0, 222, 0, 0, 0, 0, 0, 11, 19, 252
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\components\SensorGraph.vue", "Vue", 0, 0, 353, 0, 0, 0, 0, 0, 36, 44, 433
"c:\Users\Topias\VSCodeProjects\soilbird-helsinki\src\i18n\en.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
